Recency,Frequency,Monetary
3636,15,110.58
3409,9,57.3
3400,10,78.0
3689,7,69.7
3546,4,30.3
3798,4,17.4
3410,13,82.22
3393,13,97.8
4046,5,27.0
3538,5,30.2
3462,11,120.84
3515,13,105.8
3400,11,121.2
3967,10,110.0
3410,18,134.4
3751,10,115.02
3754,4,26.3
3592,9,37.1
3391,25,230.0
3391,10,51.5
3482,15,191.9
3715,4,33.3
3397,18,158.91
3544,16,116.32
3957,4,10.5
3736,6,62.64
3617,6,53.09
3620,9,50.7
3875,6,15.3
3537,12,89.7
3499,14,129.0
3476,19,149.35
3393,9,111.16
3502,13,101.62
3693,6,73.3
3466,8,57.5
3415,14,105.75
3444,11,156.6
3491,15,106.3
3570,17,158.6
3512,13,71.5
3427,8,53.8
3452,8,143.5
3487,19,178.26
3500,6,56.6
3496,6,19.6
3873,2,10.1
3568,14,154.3
3399,11,138.6
3594,8,93.0
3636,5,35.0
3637,4,49.0
3480,6,78.5
3460,16,177.75
3605,19,165.02
3464,12,147.29
3740,6,32.6
3403,12,83.0
4037,2,8.1
3784,8,60.62
3425,16,166.19
3509,14,51.56
3403,15,100.4
3393,7,50.8
3635,14,98.1
3416,29,221.0
3786,5,107.6
3874,11,79.85
3465,6,51.94
3734,7,26.2
3699,11,139.3
3661,12,154.15
3389,10,111.3
3493,10,66.83
3407,13,142.1
3454,11,81.3
3401,17,110.96
3673,10,76.3
3490,21,189.93
3417,11,78.0
3996,6,48.4
3670,6,69.7
3395,14,86.65
3952,2,21.0
3522,14,133.9
3433,9,81.6
3800,2,11.4
3508,9,93.8
3472,9,64.5
3416,21,150.3
3427,10,60.0
3895,4,34.8
3836,6,68.1
3691,3,7.5
3491,17,203.5
3565,9,46.15
3509,17,85.45
3562,4,33.96
3722,12,98.4
3442,12,77.57
3396,14,137.0
3381,30,316.81
3481,7,86.5
3470,12,157.05
3414,11,86.6
3423,15,134.7
3691,4,51.6
3438,10,92.34
3572,25,223.29
3558,15,73.92
